  21x  Leather Jack                   -> RULES-ARMO_05 (Armor)
  18x  Hand Weapon                    -> RULES-COMB_BASE_03 (Weapon)
  15x  Writing Kit                    -> RULES-TRAP_121 (Trapping)
  13x  Leather Jerkin                 -> RULES-ARMO_06 (Armor)
  11x  Riding Horse                   -> RULES-TRAP_150 (Trapping)
   8x  Breastplate                    -> RULES-ARMO_13 (Armor)
   8x  Mail Shirt                     -> RULES-ARMO_11 (Armor)
   7x  Guild Licence                  -> RULES-TRAP_130 (Trapping)
   6x  Shield                         -> RULES-ARMO_02 (Armor)
   5x  Lamp Oil                       -> RULES-TRAP_19 (Trapping)
   5x  Disguise Kit                   -> RULES-TRAP_091 (Trapping)
   5x  Light Warhorse                 -> RULES-TRAP_146 (Trapping)
   5x  Robes                          -> RULES-TRAP_062 (Trapping)
   4x  Uniform                        -> RULES-TRAP_067 (Trapping)
   4x  Tent                           -> RULES-TRAP_30 (Trapping)
   4x  Religious Symbol               -> RULES-TRAP_061 (Trapping)
   4x  Bedroll                        -> RULES-TRAP_04 (Trapping)
   4x  Backpack                       -> RULES-TRAP_033 (Trapping)
   4x  Hat                            -> RULES-TRAP_056 (Trapping)
   3x  Spear                          -> RULES-COMB_HAST_04 (Weapon)
   3x  Knuckledusters                 -> RULES-COMB_BAGAR_02 (Weapon)
   3x  Melee Weapon (Any)             -> RULES-COMB_* (Weapon)
   3x  Sack                           -> RULES-TRAP_040 (Trapping)
   3x  Crowbar                        -> RULES-TRAP_089 (Trapping)
   3x  Map                            -> RULES-TRAP_133 (Trapping)
   2x  Enchanted Staff                -> RULES-TRAP_181 (Trapping)
   2x  Manacles                       -> RULES-TRAP_102 (Trapping)
   2x  Bucket                         -> RULES-TRAP_086 (Trapping)
   2x  Grappling Hook                 -> RULES-TRAP_17 (Trapping)
   2x  Charcoal Stick                 -> RULES-TRAP_09 (Trapping)
   2x  Lantern                        -> RULES-TRAP_20 (Trapping)
   2x  Scroll Case                    -> RULES-TRAP_044 (Trapping)
   2x  Net                            -> RULES-COMB_BASE_05 (Weapon)
   2x  Tinderbox                      -> RULES-TRAP_31 (Trapping)
   2x  Open Helm                      -> RULES-ARMO_15 (Armor)
   2x  Deck of Cards                  -> RULES-TRAP_11 (Trapping)
   2x  Bowl                           -> RULES-TRAP_27 (Trapping)
   2x  Quarterstaff                   -> RULES-COMB_HAST_03 (Weapon)
   2x  Cloak                          -> RULES-TRAP_048 (Trapping)
   1x  Buckler                        -> RULES-COMB_ESCR_01 (Weapon)
   1x  Instrument                     -> RULES-TRAP_18 (Trapping)
   1x  Spade                          -> RULES-TRAP_115 (Trapping)
   1x  Destrier                       -> RULES-TRAP_141 (Trapping)
   1x  Telescope                      -> RULES-TRAP_119 (Trapping)
   1x  Crutch                         -> RULES-TRAP_090 (Trapping)
   1x  Abacus                         -> RULES-TRAP_081 (Trapping)
   1x  Healing Poultice               -> RULES-TRAP_168 (Trapping)
   1x  Courtly Garb                   -> RULES-TRAP_052 (Trapping)
   1x  Sword                          -> RULES-COMB_BASE_06 (Weapon)
   1x  Amulet                         -> RULES-TRAP_046 (Trapping)
   1x  Lance                          -> RULES-COMB_CAVAL_02 (Weapon)
   1x  Boots                          -> RULES-TRAP_047 (Trapping)
   1x  Pan                            -> RULES-TRAP_23 (Trapping)
   1x  Signet Ring                    -> RULES-TRAP_065 (Trapping)
   1x  Pick                           -> RULES-TRAP_108 (Trapping)
   1x  Dice                           -> RULES-TRAP_14 (Trapping)
   1x  Gavel                          -> RULES-TRAP_095 (Trapping)
   1x  Cup                            -> RULES-TRAP_13 (Trapping)
   1x  Rat Poison                     -> RULES-TRAP_162 (Trapping)
   1x  Floor Brush                    -> RULES-TRAP_094 (Trapping)
   1x  Hunting Dog                    -> RULES-TRAP_145 (Trapping)
   1x  Costume                        -> RULES-TRAP_051 (Trapping)
   1x  Leather Leggings               -> RULES-ARMO_07 (Armor)
   1x  Mop                            -> RULES-TRAP_104 (Trapping)
   1x  Storm Lantern                  -> RULES-TRAP_21 (Trapping)
   1x  Blanket                        -> RULES-TRAP_05 (Trapping)
   1x  Hood or Mask                   -> RULES-TRAP_057 (Trapping)
   1x  Pipe and Tobacco               -> RULES-TRAP_24 (Trapping)
   1x  Saddlebags                     -> RULES-TRAP_042 (Trapping)
   1x  Pestle and Mortar              -> RULES-TRAP_107 (Trapping)
   1x  Whip                           -> RULES-COMB_FLEAU_04 (Weapon)
   1x  Chalk                          -> RULES-TRAP_08 (Trapping)
   1x  Velvet Cloak                   -> RULES-TRAP_055 (Trapping)
   1x  Flail                          -> RULES-COMB_FLEAU_01 (Weapon)
