   8x  Rope
   7x  Quality Clothing
   6x  Apprentice
   6x  Pistol with 10 Shots
   5x  Helmet
   5x  Storm Lantern and Oil
   5x  Hand Weapon (Boat Hook)
   4x  Religious Relic
   4x  Rowboat
   4x  Livery
   4x  Book (Religion)
   4x  Symbol of Rank
   3x  Trade Tools (Engineer)
   3x  Lair
   3x  Mule and Cart
   3x  Quality Courtly Garb
   3x  Assistant
   3x  Trade Tools (Physician)
   3x  Network of Informers
   3x  Aide
   2x  Trade Tools (Herbalist)
   2x  Office
   2x  Spyglass
   2x  Crossbow Pistol with 10 Bolts
   2x  Magnifying Glass
   2x  Trade Tools (Thief)
   2x  Servant
   2x  Blunderbuss with 10 Shots
   2x  Quality Robes
   2x  Horse and Cart
   2x  Office and Staff
   2x  Patron
   2x  Weapon (Any)
   2x  Hand Weapon (Sickle)
   2x  Sleeved Mail Shirt
   2x  Trade Tools (as Trade)
   2x  Maps
   2x  Grimoire
   2x  Warehouse
   2x  Ranged Weapon (Any One)
   2x  Pole
   2x  Hand Weapon (Axe)
   2x  Sturdy Boots and Cloak
   2x  Bandages
   2x  Library (Theology)
   2x  Flask of Spirits
   2x  Workshop (as Trade)
   2x  Leather Gloves
   2x  Large Sack
   2x  Trade Tools (Carpenter)
   2x  Library (Magic)
   1x  Calling Card
   1x  Hawk Mews or Kennel of Hunting Dogs
   1x  Tarpaulin
   1x  Handcart
   1x  Jewellery worth 200 GC
   1x  Large Townhouse with Gardens and Servants
   1x  Goods worth at least 3d10 Shillings
   1x  Book (Law)
   1x  Crossbow with 10 Bolts or Spear
   1x  Colourful Mixtures
   1x  Hammer and Nails
   1x  Barge or 2 Wagons
   1x  Eel Trap
   1x  3d10 Shillings
   1x  Courtly Attire
   1x  Quality Clothing and Hat
   1x  Magic Licence
   1x  Small Animal Traps
   1x  Notes Stuffed in Locked Drawer
   1x  Great Weapon (Military Flail)
   1x  Book (Medicine)
   1x  Canvas Tarpaulin
   1x  Large Unit of Knights or Several Small Units of Knights
   1x  Multiple Forged Documents
   1x  Lodgings
   1x  Unit of Roadwardens
   1x  Sling Bag containing 2 different sets of Clothing and Hooded Cloak
   1x  Impressive Hat
   1x  Selection of Amulets
   1x  Staff
   1x  2 Quality Weapons
   1x  Quality Trade Tools (Engineer)
   1x  Province
   1x  Hooded Cloak
   1x  Hand Weapon (Dwarf Axe)
   1x  River Runners
   1x  Selection of Animal Traps
   1x  Workshop (Engineer)
   1x  Leather Breastplate
   1x  Forged Document
   1x  Quality Clothes
   1x  Quality Symbol of Rank
   1x  Sash
   1x  2 Wooden Training Swords
   1x  Religious Order
   1x  Quality Hat
   1x  Goods worth 2d10 Pennies
   1x  Subordinate Gang Bosses
   1x  Storm Lantern with Oil
   1x  Davrich Lamp
   1x  Abbey
   1x  Lockpick
   1x  Workshop (Herbalist)
   1x  Book (Herbs)
   1x  Isolated Hut
   1x  Ceremonial Cloak and Garland
   1x  Draught Horse and Cart
   1x  A Ring of Knaves
   1x  Large Town Estate
   1x  Informer
   1x  Small Unit of Knights
   1x  Workshop (Apothecary)
   1x  500 GC
   1x  Book
   1x  Lasso or Sling with 10 Stone Bullets
   1x  2 Warehouses
   1x  2 Sets of Quality Clothing
   1x  Magical Item
   1x  Shovel
   1x  Sailing Ship and Crew
   1x  Rune Axe
   1x  Remote Lair
   1x  Letter of Commission
   1x  Several Fence Contacts
   1x  Journal
   1x  Basket
   1x  1000 GC
   1x  Library (Art)
   1x  'Fiefdom' of Outlaw Chiefs
   1x  Goods worth at least 2d10 Shillings
   1x  Quality Helmet
   1x  Guild
   1x  Quality Hat and Cloak
   1x  Barge and Wrecker Crew
   1x  Printing Press
   1x  Crossbow with 10 Bolts or Javelin
   1x  Dark Clothing
   1x  Mortarboard
   1x  Couriers
   1x  Selection of Maps
   1x  Plate Armour
   1x  Pawnbroker's Shop
   1x  3 Pamphleteers
   1x  Rapier or Silvered Sword
   1x  Lantern and Pole
   1x  Ostentatious Wig
   1x  Jewellery worth 500 GC
   1x  Net or Whip
   1x  Regiment of Recruits
   1x  Best Quality Courtly Clothes
   1x  Saddlebags with 2 weeks' Rations
   1x  Band of Outlaws
   1x  Quality Cloak
   1x  Healing Draught
   1x  Large Workshop (Apothecary)
   1x  Sling Bag containing Trade Tools (Artist)
   1x  Poison
   1x  Alcohol
   1x  Herb Gatherer
   1x  100 GC
   1x  4 Household Servants
   1x  3 Herbal Remedies
   1x  Degree
   1x  Access to a Library
   1x  2 Bolas or Crossbow with 10 Bolts or Lasso
   1x  Whistle
   1x  Dose of Weirdroot
   1x  Squad of Guards
   1x  Barge and Crew
   1x  Quality Uniform
   1x  Crew of Miners
   1x  Squad of Roadwardens
   1x  Instruments of Torture
   1x  Patrol Boats and Crew
   1x  Book (Blank)
   1x  Trained Animal
   1x  Brush or Chisel or Writing Kit
   1x  Ceremonial Robes
   1x  4 Pairs of Manacles
   1x  A Ring of Hustlers
   1x  Pony and Cart
   1x  Bow with 10 Arrows
   1x  Orders
   1x  Subordinate Priests
   1x  Court Robes
   1x  Personal Servant
   1x  Sling Bag containing Assortment of Herbs
   1x  2 Barges and 4 Wagons
   1x  Forged Seal
   1x  Trade Tools (Astrology)
   1x  Chains of Office
   1x  Small but Vicious Dog
   1x  Regiment of Soldiers
   1x  Subordinate Witch Hunters
   1x  The Respect of the Village
   1x  Cheap Jewellery
   1x  Feinkopf Lantern
   1x  Herald
   1x  Staff of Diplomats
   1x  Assortment of Animal Skulls
   1x  Foil or Hand Mirror
   1x  Hand Weapon or Quarterstaff
   1x  Trade Tools (Cartographer)
